,CrimeDate,CrimeTime,Description,Hour,Year
12470,12/31/2016,58.00,HOMICIDE,0,2016
12748,12/28/2016,19:24:57,RAPE,19,2016
12806,12/28/2016,14:36:21,RAPE,14,2016
12983,12/27/2016,09:02:56,RAPE,9,2016
13160,12/25/2016,1626.00,HOMICIDE,16,2016
13168,12/25/2016,1553.00,HOMICIDE,15,2016
13415,12/23/2016,1643.00,HOMICIDE,16,2016
13444,12/23/2016,13:12:38,RAPE,13,2016
13472,12/23/2016,630.00,HOMICIDE,6,2016
13513,12/22/2016,21:51:36,RAPE,21,2016
13543,12/22/2016,1826.00,HOMICIDE,18,2016
13544,12/22/2016,1825.00,HOMICIDE,18,2016
13647,12/22/2016,03:44:26,RAPE,3,2016
13812,12/20/2016,2110.00,HOMICIDE,21,2016
13821,12/20/2016,2030.00,HOMICIDE,20,2016
14042,12/19/2016,1258.00,HOMICIDE,12,2016
14097,12/19/2016,230.00,HOMICIDE,2,2016
14098,12/19/2016,230.00,HOMICIDE,2,2016
14342,12/16/2016,2031.00,HOMICIDE,20,2016
14404,12/16/2016,1000.00,HOMICIDE,10,2016
14436,12/15/2016,2328.00,HOMICIDE,23,2016
14452,12/15/2016,2014.00,HOMICIDE,20,2016
14603,12/14/2016,16:19:16,RAPE,16,2016
14645,12/14/2016,806.00,HOMICIDE,8,2016
14734,12/13/2016,1749.00,HOMICIDE,17,2016
14735,12/13/2016,1749.00,HOMICIDE,17,2016
14737,12/13/2016,17:42:42,RAPE,17,2016
14772,12/13/2016,12:49:17,RAPE,12,2016
15087,12/10/2016,2358.00,HOMICIDE,23,2016
15118,12/10/2016,18:15:36,RAPE,18,2016
15131,12/10/2016,15:52:42,RAPE,15,2016
15196,12/10/2016,121.00,HOMICIDE,1,2016
15214,12/09/2016,2146.00,HOMICIDE,21,2016
15222,12/09/2016,19:37:35,RAPE,19,2016
15506,12/07/2016,18:08:13,RAPE,18,2016
15647,12/06/2016,17:10:37,RAPE,17,2016
15679,12/06/2016,11:09:03,RAPE,11,2016
15773,12/05/2016,18:42:58,RAPE,18,2016
15789,12/05/2016,17:01:14,RAPE,17,2016
15827,12/05/2016,1249.00,HOMICIDE,12,2016
15839,12/05/2016,12:13:26,RAPE,12,2016
15934,12/04/2016,1743.00,HOMICIDE,17,2016
15935,12/04/2016,1743.00,HOMICIDE,17,2016
15936,12/04/2016,1743.00,HOMICIDE,17,2016
16099,12/03/2016,09:03:16,RAPE,9,2016
16110,12/03/2016,07:40:12,RAPE,7,2016
16200,12/02/2016,1551.00,HOMICIDE,15,2016
16201,12/02/2016,1514.00,HOMICIDE,15,2016
16456,11/30/2016,2241.00,HOMICIDE,22,2016
16480,11/30/2016,19:45:33,RAPE,19,2016
16492,11/30/2016,1800.00,HOMICIDE,18,2016
16495,11/30/2016,1800.00,HOMICIDE,18,2016
16563,11/30/2016,845.00,HOMICIDE,8,2016
16660,11/29/2016,1708.00,HOMICIDE,17,2016
16750,11/29/2016,00:13:25,RAPE,0,2016
16844,11/28/2016,16:12:45,RAPE,16,2016
17057,11/27/2016,00:20:00,RAPE,0,2016
17243,11/25/2016,1440.00,HOMICIDE,14,2016
17418,11/23/2016,2216.00,HOMICIDE,22,2016
17423,11/23/2016,21:32:02,RAPE,21,2016
17440,11/23/2016,1850.00,HOMICIDE,18,2016
17474,11/23/2016,15:46:31,RAPE,15,2016
17488,11/23/2016,1425.00,HOMICIDE,14,2016
17562,11/22/2016,22:50:04,RAPE,22,2016
17700,11/22/2016,609.00,HOMICIDE,6,2016
17758,11/21/2016,1709.00,HOMICIDE,17,2016
17899,11/20/2016,1440.00,HOMICIDE,14,2016
17905,11/20/2016,1302.00,HOMICIDE,13,2016
17960,11/19/2016,2226.00,HOMICIDE,22,2016
17984,11/19/2016,1906.00,HOMICIDE,19,2016
18073,11/19/2016,120.00,HOMICIDE,1,2016
18135,11/18/2016,17:21:34,RAPE,17,2016
18158,11/18/2016,15:18:22,RAPE,15,2016
18238,11/18/2016,552.00,HOMICIDE,5,2016
18263,11/17/2016,2232.00,HOMICIDE,22,2016
18294,11/17/2016,19:18:39,RAPE,19,2016
18320,11/17/2016,1645.00,HOMICIDE,16,2016
18382,11/17/2016,11:13:17,RAPE,11,2016
18622,11/15/2016,1931.00,HOMICIDE,19,2016
18623,11/15/2016,1919.00,HOMICIDE,19,2016
18674,11/15/2016,1555.00,HOMICIDE,15,2016
18753,11/14/2016,21:45:02,RAPE,21,2016
18762,11/14/2016,20:59:48,RAPE,20,2016
18794,11/14/2016,17:53:52,RAPE,17,2016
19140,11/11/2016,2157.00,HOMICIDE,21,2016
19221,11/11/2016,1132.00,HOMICIDE,11,2016
19423,11/09/2016,2316.00,HOMICIDE,23,2016
19434,11/09/2016,2123.00,HOMICIDE,21,2016
19477,11/09/2016,16:19:16,RAPE,16,2016
19631,11/08/2016,1320.00,HOMICIDE,13,2016
19824,11/07/2016,254.00,HOMICIDE,2,2016
19925,11/06/2016,12:07:31,RAPE,12,2016
20057,11/05/2016,1504.00,HOMICIDE,15,2016
20232,11/04/2016,1252.00,HOMICIDE,12,2016
20285,11/04/2016,06:32:34,RAPE,6,2016
20302,11/04/2016,01:30:49,RAPE,1,2016
20320,11/03/2016,22:34:10,RAPE,22,2016
20390,11/03/2016,16:24:44,RAPE,16,2016
20580,11/02/2016,07:59:24,RAPE,7,2016
20739,11/01/2016,10:49:51,RAPE,10,2016
20991,10/30/2016,22:51:25,RAPE,22,2016
21096,10/30/2016,09:53:40,RAPE,9,2016
21110,10/30/2016,346.00,HOMICIDE,3,2016
21269,10/29/2016,04:52:27,RAPE,4,2016
21283,10/29/2016,123.00,HOMICIDE,1,2016
21445,10/28/2016,202.00,HOMICIDE,2,2016
21605,10/27/2016,02:04:43,RAPE,2,2016
21680,10/26/2016,1628.00,HOMICIDE,16,2016
21820,10/25/2016,17:47:03,RAPE,17,2016
21969,10/24/2016,2059.00,HOMICIDE,20,2016
21980,10/24/2016,19:36:30,RAPE,19,2016
22047,10/24/2016,1254.00,HOMICIDE,12,2016
22048,10/24/2016,1254.00,HOMICIDE,12,2016
22273,10/22/2016,2210.00,HOMICIDE,22,2016
22417,10/21/2016,2156.00,HOMICIDE,21,2016
22444,10/21/2016,18:47:16,RAPE,18,2016
22487,10/21/2016,13:49:42,RAPE,13,2016
22622,10/20/2016,17:24:30,RAPE,17,2016
22855,10/19/2016,1128.00,HOMICIDE,11,2016
23015,10/18/2016,1424.00,HOMICIDE,14,2016
23043,10/18/2016,11:13:54,RAPE,11,2016
23138,10/17/2016,17:31:40,RAPE,17,2016
23319,10/16/2016,1758.00,HOMICIDE,17,2016
23326,10/16/2016,1612.00,HOMICIDE,16,2016
23380,10/16/2016,05:13:26,RAPE,5,2016
23499,10/15/2016,1408.00,HOMICIDE,14,2016
23624,10/14/2016,18:36:00,RAPE,18,2016
23767,10/13/2016,1954.00,HOMICIDE,19,2016
23818,10/13/2016,13:19:49,RAPE,13,2016
23837,10/13/2016,10:56:15,RAPE,10,2016
23882,10/12/2016,2300.00,HOMICIDE,23,2016
23960,10/12/2016,1247.00,HOMICIDE,12,2016
24009,10/12/2016,02:11:29,RAPE,2,2016
24108,10/11/2016,1425.00,HOMICIDE,14,2016
24109,10/11/2016,1400.00,HOMICIDE,14,2016
24205,10/10/2016,2032.00,HOMICIDE,20,2016
24244,10/10/2016,1646.00,HOMICIDE,16,2016
24261,10/10/2016,1406.00,HOMICIDE,14,2016
24301,10/10/2016,09:15:55,RAPE,9,2016
24318,10/10/2016,04:46:30,RAPE,4,2016
24335,10/09/2016,2335.00,HOMICIDE,23,2016
24370,10/09/2016,19:57:43,RAPE,19,2016
24459,10/09/2016,09:13:24,RAPE,9,2016
24612,10/08/2016,05:50:31,RAPE,5,2016
24664,10/07/2016,20:23:56,RAPE,20,2016
24731,10/07/2016,14:18:28,RAPE,14,2016
24800,10/07/2016,00:28:10,RAPE,0,2016
24857,10/06/2016,1741.00,HOMICIDE,17,2016
24868,10/06/2016,15:57:14,RAPE,15,2016
24930,10/05/2016,23:40:17,RAPE,23,2016
25013,10/05/2016,14:05:05,RAPE,14,2016
25095,10/04/2016,2213.00,HOMICIDE,22,2016
25134,10/04/2016,18:43:44,RAPE,18,2016
25172,10/04/2016,1303.00,HOMICIDE,13,2016
25301,10/03/2016,1352.00,HOMICIDE,13,2016
25357,10/03/2016,115.00,HOMICIDE,1,2016
25370,10/02/2016,2358.00,HOMICIDE,23,2016
25426,10/02/2016,1710.00,HOMICIDE,17,2016
25646,10/01/2016,01:59:15,RAPE,1,2016
26176,09/27/2016,1325.00,HOMICIDE,13,2016
26423,09/25/2016,1742.00,HOMICIDE,17,2016
26460,09/25/2016,13:24:48,RAPE,13,2016
26509,09/25/2016,155.00,HOMICIDE,1,2016
26648,09/24/2016,1309.00,HOMICIDE,13,2016
26687,09/24/2016,08:00:40,RAPE,8,2016
26795,09/23/2016,16:23:41,RAPE,16,2016
26866,09/23/2016,325.00,HOMICIDE,3,2016
27086,09/21/2016,2110.00,HOMICIDE,21,2016
27215,09/21/2016,237.00,HOMICIDE,2,2016
27219,09/21/2016,02:28:32,RAPE,2,2016
27301,09/20/2016,12:45:43,RAPE,12,2016
27376,09/19/2016,2225.00,HOMICIDE,22,2016
27457,09/19/2016,11:27:24,RAPE,11,2016
27478,09/19/2016,07:10:30,RAPE,7,2016
27543,09/18/2016,19:13:10,RAPE,19,2016
27548,09/18/2016,1814.00,HOMICIDE,18,2016
27633,09/18/2016,9.00,HOMICIDE,0,2016
27699,09/17/2016,18:23:11,RAPE,18,2016
27757,09/17/2016,09:41:56,RAPE,9,2016
27823,09/16/2016,2116.00,HOMICIDE,21,2016
27825,09/16/2016,2105.00,HOMICIDE,21,2016
27900,07/15/2016,16:11:21,RAPE,16,2016
27936,09/16/2016,318.00,HOMICIDE,3,2016
27993,09/15/2016,1731.00,HOMICIDE,17,2016
28023,09/15/2016,1340.00,HOMICIDE,13,2016
28024,09/15/2016,13:51:05,RAPE,13,2016
28130,09/14/2016,2044.00,HOMICIDE,20,2016
28161,09/14/2016,16:45:53,RAPE,16,2016
28471,09/12/2016,14:50:50,RAPE,14,2016
28673,09/11/2016,10:05:54,RAPE,10,2016
29000,09/09/2016,204.00,HOMICIDE,2,2016
29060,09/08/2016,16:36:09,RAPE,16,2016
29083,09/08/2016,1242.00,HOMICIDE,12,2016
29128,09/08/2016,350.00,HOMICIDE,3,2016
29131,09/08/2016,201.00,HOMICIDE,2,2016
29158,09/07/2016,2242.00,HOMICIDE,22,2016
29175,09/07/2016,2050.00,HOMICIDE,20,2016
29237,09/07/2016,1329.00,HOMICIDE,13,2016
29254,09/07/2016,1127.00,HOMICIDE,11,2016
29280,09/07/2016,625.00,HOMICIDE,6,2016
29316,09/06/2016,22:01:44,RAPE,22,2016
29360,09/06/2016,17:43:34,RAPE,17,2016
29387,09/06/2016,1315.00,HOMICIDE,13,2016
29565,09/05/2016,100.00,HOMICIDE,1,2016
29594,09/04/2016,2201.00,HOMICIDE,22,2016
