,ID,Date,Primary Type,Year,Time Period,DateTime,Hour
142,10512232,05/03/2016 05:00:00 PM,SEX OFFENSE,2016,PM,2016-05-03 17:00:00,17
177,22451,05/03/2016 09:08:00 PM,HOMICIDE,2016,PM,2016-05-03 21:08:00,21
178,22452,05/03/2016 02:00:00 PM,HOMICIDE,2016,PM,2016-05-03 14:00:00,14
679,10511349,05/04/2016 12:00:00 PM,SEX OFFENSE,2016,PM,2016-05-04 12:00:00,12
741,22453,05/04/2016 12:14:00 AM,HOMICIDE,2016,AM,2016-05-04 00:14:00,0
742,22454,05/04/2016 12:01:00 AM,HOMICIDE,2016,AM,2016-05-04 00:01:00,0
743,22455,05/04/2016 03:10:00 PM,HOMICIDE,2016,PM,2016-05-04 15:10:00,15
957,10515241,05/01/2016 04:16:00 AM,SEX OFFENSE,2016,AM,2016-05-01 04:16:00,4
998,10516416,04/30/2016 12:01:00 AM,SEX OFFENSE,2016,AM,2016-04-30 00:01:00,0
1401,10511622,05/05/2016 05:00:00 PM,SEX OFFENSE,2016,PM,2016-05-05 17:00:00,17
1586,10515855,03/22/2016 01:50:00 PM,SEX OFFENSE,2016,PM,2016-03-22 13:50:00,13
1906,10512753,05/06/2016 05:50:00 PM,SEX OFFENSE,2016,PM,2016-05-06 17:50:00,17
2052,22456,05/06/2016 03:44:00 AM,HOMICIDE,2016,AM,2016-05-06 03:44:00,3
2053,22457,05/06/2016 08:10:00 PM,HOMICIDE,2016,PM,2016-05-06 20:10:00,20
2086,10513050,05/06/2016 07:30:00 PM,SEX OFFENSE,2016,PM,2016-05-06 19:30:00,19
2389,10513342,05/07/2016 02:30:00 AM,SEX OFFENSE,2016,AM,2016-05-07 02:30:00,2
2704,10514020,05/07/2016 11:35:00 PM,SEX OFFENSE,2016,PM,2016-05-07 23:35:00,23
2859,22458,05/07/2016 02:14:00 AM,HOMICIDE,2016,AM,2016-05-07 02:14:00,2
2860,22459,05/07/2016 08:36:00 PM,HOMICIDE,2016,PM,2016-05-07 20:36:00,20
2861,22460,05/07/2016 11:45:00 PM,HOMICIDE,2016,PM,2016-05-07 23:45:00,23
3785,10481905,04/08/2016 03:00:00 PM,SEX OFFENSE,2016,PM,2016-04-08 15:00:00,15
3835,22415,04/08/2016 12:07:00 AM,HOMICIDE,2016,AM,2016-04-08 00:07:00,0
3836,22416,04/08/2016 12:56:00 AM,HOMICIDE,2016,AM,2016-04-08 00:56:00,0
4335,10520135,05/08/2016 08:00:00 PM,SEX OFFENSE,2016,PM,2016-05-08 20:00:00,20
4352,22461,05/08/2016 04:00:00 PM,HOMICIDE,2016,PM,2016-05-08 16:00:00,16
4353,22462,05/08/2016 05:45:00 PM,HOMICIDE,2016,PM,2016-05-08 17:45:00,17
4354,22463,05/08/2016 05:46:00 AM,HOMICIDE,2016,AM,2016-05-08 05:46:00,5
4355,22464,05/08/2016 09:35:00 AM,HOMICIDE,2016,AM,2016-05-08 09:35:00,9
4358,10522488,04/20/2016 07:00:00 PM,SEX OFFENSE,2016,PM,2016-04-20 19:00:00,19
4628,22473,05/07/2016 03:10:00 PM,HOMICIDE,2016,PM,2016-05-07 15:10:00,15
4636,10514803,05/09/2016 01:00:00 AM,SEX OFFENSE,2016,AM,2016-05-09 01:00:00,1
4747,10515252,05/09/2016 11:20:00 AM,SEX OFFENSE,2016,AM,2016-05-09 11:20:00,11
4916,10515705,05/09/2016 04:40:00 PM,SEX OFFENSE,2016,PM,2016-05-09 16:40:00,16
5225,22465,05/09/2016 01:30:00 AM,HOMICIDE,2016,AM,2016-05-09 01:30:00,1
5226,22466,05/09/2016 12:18:00 PM,HOMICIDE,2016,PM,2016-05-09 12:18:00,12
5227,22467,05/09/2016 12:18:00 PM,HOMICIDE,2016,PM,2016-05-09 12:18:00,12
5843,10522120,05/10/2016 03:30:00 PM,SEX OFFENSE,2016,PM,2016-05-10 15:30:00,15
5871,22468,05/10/2016 06:25:00 PM,HOMICIDE,2016,PM,2016-05-10 18:25:00,18
5872,22469,05/10/2016 12:00:00 AM,HOMICIDE,2016,AM,2016-05-10 00:00:00,0
6284,10518739,05/11/2016 08:33:00 PM,SEX OFFENSE,2016,PM,2016-05-11 20:33:00,20
6387,10518898,05/11/2016 10:15:00 PM,SEX OFFENSE,2016,PM,2016-05-11 22:15:00,22
6450,10519457,05/11/2016 06:50:00 AM,SEX OFFENSE,2016,AM,2016-05-11 06:50:00,6
6562,22470,05/11/2016 12:52:00 AM,HOMICIDE,2016,AM,2016-05-11 00:52:00,0
6563,22490,04/06/2016 12:01:00 AM,HOMICIDE,2016,AM,2016-04-06 00:01:00,0
6809,22488,05/09/2016 12:01:00 AM,HOMICIDE,2016,AM,2016-05-09 00:01:00,0
7351,10524524,05/12/2016 06:00:00 PM,SEX OFFENSE,2016,PM,2016-05-12 18:00:00,18
7381,22475,05/12/2016 01:22:00 AM,HOMICIDE,2016,AM,2016-05-12 01:22:00,1
7439,22314,02/04/2016 01:00:00 PM,HOMICIDE,2016,PM,2016-02-04 13:00:00,13
7440,22316,02/04/2016 01:00:00 PM,HOMICIDE,2016,PM,2016-02-04 13:00:00,13
7441,22317,02/04/2016 01:00:00 PM,HOMICIDE,2016,PM,2016-02-04 13:00:00,13
7442,22318,02/04/2016 01:00:00 PM,HOMICIDE,2016,PM,2016-02-04 13:00:00,13
7443,22319,02/04/2016 01:00:00 PM,HOMICIDE,2016,PM,2016-02-04 13:00:00,13
8101,22476,05/13/2016 12:43:00 PM,HOMICIDE,2016,PM,2016-05-13 12:43:00,12
8482,10522290,05/14/2016 06:16:00 PM,SEX OFFENSE,2016,PM,2016-05-14 18:16:00,18
8779,22477,05/14/2016 12:13:00 AM,HOMICIDE,2016,AM,2016-05-14 00:13:00,0
8780,22478,05/14/2016 04:14:00 PM,HOMICIDE,2016,PM,2016-05-14 16:14:00,16
8781,22479,05/14/2016 05:25:00 PM,HOMICIDE,2016,PM,2016-05-14 17:25:00,17
8782,22480,05/14/2016 08:24:00 PM,HOMICIDE,2016,PM,2016-05-14 20:24:00,20
8859,10510231,05/04/2016 07:00:00 PM,SEX OFFENSE,2016,PM,2016-05-04 19:00:00,19
9351,10524408,05/15/2016 07:18:00 AM,SEX OFFENSE,2016,AM,2016-05-15 07:18:00,7
9383,10525769,05/15/2016 11:30:00 PM,SEX OFFENSE,2016,PM,2016-05-15 23:30:00,23
9402,22481,05/15/2016 04:56:00 AM,HOMICIDE,2016,AM,2016-05-15 04:56:00,4
9403,22482,05/15/2016 07:24:00 AM,HOMICIDE,2016,AM,2016-05-15 07:24:00,7
9404,22483,05/15/2016 02:46:00 PM,HOMICIDE,2016,PM,2016-05-15 14:46:00,14
9405,22484,05/15/2016 09:16:00 PM,HOMICIDE,2016,PM,2016-05-15 21:16:00,21
9842,10503331,04/25/2016 05:00:00 AM,SEX OFFENSE,2016,AM,2016-04-25 05:00:00,5
10121,10511122,05/05/2016 08:00:00 AM,SEX OFFENSE,2016,AM,2016-05-05 08:00:00,8
10431,10517461,05/06/2016 03:15:00 PM,SEX OFFENSE,2016,PM,2016-05-06 15:15:00,15
10925,10528586,05/14/2016 03:00:00 PM,SEX OFFENSE,2016,PM,2016-05-14 15:00:00,15
11028,10523536,05/16/2016 06:10:00 AM,SEX OFFENSE,2016,AM,2016-05-16 06:10:00,6
11584,10525913,05/16/2016 04:00:00 PM,SEX OFFENSE,2016,PM,2016-05-16 16:00:00,16
11668,22485,05/16/2016 08:47:00 PM,HOMICIDE,2016,PM,2016-05-16 20:47:00,20
11669,22486,05/16/2016 10:50:00 PM,HOMICIDE,2016,PM,2016-05-16 22:50:00,22
11670,22487,05/16/2016 05:05:00 PM,HOMICIDE,2016,PM,2016-05-16 17:05:00,17
11671,22489,05/16/2016 11:35:00 PM,HOMICIDE,2016,PM,2016-05-16 23:35:00,23
11775,10525079,05/17/2016 07:23:00 AM,SEX OFFENSE,2016,AM,2016-05-17 07:23:00,7
11787,10525073,05/17/2016 07:50:00 AM,SEX OFFENSE,2016,AM,2016-05-17 07:50:00,7
12029,10525925,05/17/2016 06:10:00 PM,SEX OFFENSE,2016,PM,2016-05-17 18:10:00,18
12325,22491,05/17/2016 09:54:00 PM,HOMICIDE,2016,PM,2016-05-17 21:54:00,21
12350,10370436,01/06/2016 05:15:00 PM,SEX OFFENSE,2016,PM,2016-01-06 17:15:00,17
12503,10526727,05/18/2016 08:15:00 AM,SEX OFFENSE,2016,AM,2016-05-18 08:15:00,8
13081,22492,05/18/2016 09:33:00 AM,HOMICIDE,2016,AM,2016-05-18 09:33:00,9
13082,22493,05/18/2016 06:13:00 PM,HOMICIDE,2016,PM,2016-05-18 18:13:00,18
13840,22494,05/19/2016 01:10:00 PM,HOMICIDE,2016,PM,2016-05-19 13:10:00,13
13928,10529387,05/20/2016 11:49:00 AM,SEX OFFENSE,2016,AM,2016-05-20 11:49:00,11
14352,10530902,05/20/2016 06:30:00 PM,SEX OFFENSE,2016,PM,2016-05-20 18:30:00,18
14455,22495,05/20/2016 05:55:00 AM,HOMICIDE,2016,AM,2016-05-20 05:55:00,5
14502,22432,04/22/2016 01:48:00 AM,HOMICIDE,2016,AM,2016-04-22 01:48:00,1
14687,10530529,05/21/2016 10:51:00 AM,SEX OFFENSE,2016,AM,2016-05-21 10:51:00,10
14988,10531108,05/21/2016 07:00:00 PM,SEX OFFENSE,2016,PM,2016-05-21 19:00:00,19
15191,22497,05/21/2016 12:59:00 AM,HOMICIDE,2016,AM,2016-05-21 00:59:00,0
15192,22499,05/21/2016 08:04:00 PM,HOMICIDE,2016,PM,2016-05-21 20:04:00,20
15357,10531334,05/22/2016 09:40:00 AM,SEX OFFENSE,2016,AM,2016-05-22 09:40:00,9
15844,22501,05/22/2016 04:45:00 PM,HOMICIDE,2016,PM,2016-05-22 16:45:00,16
16322,10533082,05/23/2016 11:45:00 AM,SEX OFFENSE,2016,AM,2016-05-23 11:45:00,11
16387,10533181,05/23/2016 08:10:00 PM,SEX OFFENSE,2016,PM,2016-05-23 20:10:00,20
17363,22502,05/24/2016 09:00:00 PM,HOMICIDE,2016,PM,2016-05-24 21:00:00,21
17449,10534867,05/25/2016 06:50:00 AM,SEX OFFENSE,2016,AM,2016-05-25 06:50:00,6
17457,10534938,05/25/2016 07:54:00 AM,SEX OFFENSE,2016,AM,2016-05-25 07:54:00,7
17463,10534977,05/25/2016 07:40:00 AM,SEX OFFENSE,2016,AM,2016-05-25 07:40:00,7
17540,10535363,05/25/2016 10:45:00 AM,SEX OFFENSE,2016,AM,2016-05-25 10:45:00,10
17792,10535955,05/25/2016 11:30:00 AM,SEX OFFENSE,2016,AM,2016-05-25 11:30:00,11
18534,10537132,05/26/2016 03:28:00 PM,SEX OFFENSE,2016,PM,2016-05-26 15:28:00,15
18785,22503,05/26/2016 03:21:00 PM,HOMICIDE,2016,PM,2016-05-26 15:21:00,15
18908,10537513,05/27/2016 07:25:00 AM,SEX OFFENSE,2016,AM,2016-05-27 07:25:00,7
19023,10537907,05/27/2016 01:35:00 PM,SEX OFFENSE,2016,PM,2016-05-27 13:35:00,13
19086,10538028,05/27/2016 09:30:00 AM,SEX OFFENSE,2016,AM,2016-05-27 09:30:00,9
19128,10538093,05/27/2016 02:15:00 PM,SEX OFFENSE,2016,PM,2016-05-27 14:15:00,14
19280,10538369,05/27/2016 08:00:00 PM,SEX OFFENSE,2016,PM,2016-05-27 20:00:00,20
19461,22504,05/27/2016 12:50:00 AM,HOMICIDE,2016,AM,2016-05-27 00:50:00,0
19462,22506,05/27/2016 02:50:00 PM,HOMICIDE,2016,PM,2016-05-27 14:50:00,14
19463,22507,05/27/2016 11:34:00 PM,HOMICIDE,2016,PM,2016-05-27 23:34:00,23
19617,10538469,05/28/2016 01:45:00 AM,SEX OFFENSE,2016,AM,2016-05-28 01:45:00,1
20186,10546913,04/01/2016 12:01:00 AM,SEX OFFENSE,2016,AM,2016-04-01 00:01:00,0
20189,22508,05/28/2016 02:59:00 AM,HOMICIDE,2016,AM,2016-05-28 02:59:00,2
20190,22509,05/28/2016 05:28:00 AM,HOMICIDE,2016,AM,2016-05-28 05:28:00,5
20191,22510,05/28/2016 05:29:00 PM,HOMICIDE,2016,PM,2016-05-28 17:29:00,17
20267,10487634,03/25/2016 11:00:00 PM,SEX OFFENSE,2016,PM,2016-03-25 23:00:00,23
20574,10539955,05/29/2016 03:45:00 AM,SEX OFFENSE,2016,AM,2016-05-29 03:45:00,3
20741,10540289,05/29/2016 01:00:00 PM,SEX OFFENSE,2016,PM,2016-05-29 13:00:00,13
20966,10529103,05/19/2016 06:30:00 AM,SEX OFFENSE,2016,AM,2016-05-19 06:30:00,6
21118,10531317,05/21/2016 11:10:00 AM,SEX OFFENSE,2016,AM,2016-05-21 11:10:00,11
21620,10542581,05/28/2016 05:00:00 PM,SEX OFFENSE,2016,PM,2016-05-28 17:00:00,17
21643,10543040,05/26/2016 12:00:00 AM,SEX OFFENSE,2016,AM,2016-05-26 00:00:00,0
21678,10543376,05/29/2016 08:16:00 PM,SEX OFFENSE,2016,PM,2016-05-29 20:16:00,20
21726,10543899,05/28/2016 04:00:00 AM,SEX OFFENSE,2016,AM,2016-05-28 04:00:00,4
21918,10540278,05/30/2016 03:00:00 AM,SEX OFFENSE,2016,AM,2016-05-30 03:00:00,3
22614,22511,05/30/2016 11:20:00 PM,HOMICIDE,2016,PM,2016-05-30 23:20:00,23
22615,22512,05/30/2016 11:44:00 PM,HOMICIDE,2016,PM,2016-05-30 23:44:00,23
22916,10542046,05/31/2016 01:00:00 PM,SEX OFFENSE,2016,PM,2016-05-31 13:00:00,13
23377,22513,05/31/2016 10:47:00 PM,HOMICIDE,2016,PM,2016-05-31 22:47:00,22
75589,10376650,01/08/2016 09:15:00 AM,SEX OFFENSE,2016,AM,2016-01-08 09:15:00,9
984532,22300,01/28/2016 05:39:00 AM,HOMICIDE,2016,AM,2016-01-28 05:39:00,5
985164,22295,01/26/2016 12:22:00 PM,HOMICIDE,2016,PM,2016-01-26 12:22:00,12
985165,22297,01/26/2016 04:40:00 PM,HOMICIDE,2016,PM,2016-01-26 16:40:00,16
985166,22298,01/26/2016 12:00:00 AM,HOMICIDE,2016,AM,2016-01-26 00:00:00,0
1022652,10480104,04/09/2016 12:01:00 AM,SEX OFFENSE,2016,AM,2016-04-09 00:01:00,0
1038966,10480343,04/09/2016 04:00:00 PM,SEX OFFENSE,2016,PM,2016-04-09 16:00:00,16
1054663,22420,04/09/2016 12:00:00 AM,HOMICIDE,2016,AM,2016-04-09 00:00:00,0
1080982,10481006,04/10/2016 02:00:00 AM,SEX OFFENSE,2016,AM,2016-04-10 02:00:00,2
1082543,10401120,01/01/2016 12:00:00 AM,SEX OFFENSE,2016,AM,2016-01-01 00:00:00,0
1093972,22301,01/29/2016 08:14:00 PM,HOMICIDE,2016,PM,2016-01-29 20:14:00,20
1104479,10488699,02/20/2016 02:30:00 AM,SEX OFFENSE,2016,AM,2016-02-20 02:30:00,2
1104527,22418,04/10/2016 05:05:00 AM,HOMICIDE,2016,AM,2016-04-10 05:05:00,5
1104576,22419,04/10/2016 11:43:00 AM,HOMICIDE,2016,AM,2016-04-10 11:43:00,11
1107157,10484938,03/22/2016 12:00:00 AM,SEX OFFENSE,2016,AM,2016-03-22 00:00:00,0
1112966,10488063,04/10/2016 12:00:00 AM,SEX OFFENSE,2016,AM,2016-04-10 00:00:00,0
1125873,10397664,01/30/2016 03:57:00 AM,SEX OFFENSE,2016,AM,2016-01-30 03:57:00,3
1128566,10483411,04/11/2016 10:30:00 AM,SEX OFFENSE,2016,AM,2016-04-11 10:30:00,10
